ingresos,gastos,balance
0.0,1019.5,31764.52
0.0,1349.47,69034.27
294.29,0.0,56149.98
649.16,0.0,67177.72
0.0,1335.94,91519.75
1383.81,0.0,81616.37
594.95,0.0,32075.8
155.12,0.0,67498.94
546.52,0.0,37686.81
0.0,2500.0,28739.3
0.0,1365.33,88573.47
0.0,181.22,27866.9
0.0,546.65,10217.37
776.76,0.0,12128.96
0.0,425.08,87860.75
390.99,0.0,53847.79
0.0,1104.68,67281.16
272.29,0.0,37878.72
0.0,1433.96,24116.43
1277.91,0.0,28332.56
1295.93,0.0,25181.95
899.97,0.0,62207.05
108.06,0.0,26118.48
0.0,3000.0,19477.19
0.0,805.08,26996.16
808.3,0.0,90702.55
0.0,68.88,26081.59
0.0,579.09,83011.86
783.87,0.0,43038.85
828.66,0.0,39572.36
0.0,920.78,23197.65
610.85,0.0,12759.87
0.0,429.76,10691.9
1075.25,0.0,82529.09
0.0,936.32,54379.79
490.86,0.0,88118.93
0.0,363.81,12275.67
1106.74,0.0,11697.85
0.0,1499.17,46703.41
0.0,3000.0,81310.92
0.0,314.47,89424.31
787.84,0.0,62318.76
1347.14,0.0,29312.88
0.0,1009.45,76110.03
1352.8,0.0,58081.09
849.03,0.0,81869.84
959.91,0.0,19590.29
0.0,828.42,70676.02
166.42,0.0,17409.18
793.82,0.0,78733.7
401.71,0.0,53984.02
455.27,0.0,60129.77
0.0,3000.0,30163.11
1261.9,0.0,45550.29
0.0,1086.05,92677.19
0.0,5.01,51547.52
1206.47,0.0,26148.09
0.0,626.69,82869.58
0.0,817.45,40970.47
0.0,253.3,19870.53
0.0,517.2,48556.05
0.0,230.51,32589.19
1329.39,0.0,88812.69
0.0,3000.0,33124.97
1146.03,0.0,99119.79
0.0,722.45,17749.93
2500.0,0.0,82912.76
120.21,0.0,93864.17
0.0,3000.0,82038.44
828.09,0.0,28550.55
680.22,0.0,68143.07
0.0,464.05,72744.15
1334.8,0.0,11809.48
205.15,0.0,81195.0
0.0,412.31,78865.4
1056.29,0.0,25305.85
0.0,849.96,66593.44
519.49,0.0,92174.27
751.92,0.0,99719.58
0.0,2500.0,94750.6
967.17,0.0,13744.44
398.98,0.0,17026.8
0.0,677.95,92069.07
0.0,961.38,91400.15
1433.72,0.0,88031.64
0.0,120.29,14456.53
1221.61,0.0,61894.69
875.95,0.0,22995.43
0.0,3.07,22087.5
0.0,662.79,71536.14
0.0,1264.58,44288.25
0.0,142.61,62671.36
0.0,380.2,27512.46
972.97,0.0,93557.6
451.59,0.0,73027.1
0.0,1192.42,44771.03
0.0,915.21,95174.15
0.0,757.56,56892.22
0.0,890.09,92892.45
0.0,1276.11,22029.33
0.0,629.27,94539.47
0.0,1109.84,48310.57
0.0,2500.0,60946.03
1459.47,0.0,28034.99
39.09,0.0,96461.71
642.91,0.0,63180.42
872.06,0.0,55532.15
0.0,3000.0,33605.7
367.3,0.0,75735.62
0.0,210.85,54539.77
1028.28,0.0,10016.91
445.68,0.0,94959.42
0.0,1397.24,73549.12
0.0,540.75,13663.56
0.0,73.43,42101.9
0.0,28.82,42804.34
0.0,545.11,14175.99
432.91,0.0,69592.18
0.0,347.69,98901.36
0.0,3000.0,27940.33
309.56,0.0,18592.93
725.91,0.0,24938.44
0.0,285.61,41303.96
0.0,2500.0,99243.36
0.0,399.31,37759.72
1445.74,0.0,79299.45
0.0,50.61,48106.66
870.38,0.0,14420.2
938.22,0.0,94773.07
0.0,218.48,76419.02
1180.0,0.0,27305.53
0.0,934.27,21883.98
679.39,0.0,59239.49
0.0,1033.59,84715.67
1449.25,0.0,52553.6
0.0,885.01,96055.09
0.0,3000.0,18836.59
1492.54,0.0,33922.29
0.0,507.18,66623.82
804.0,0.0,93561.14
0.0,1089.01,53175.65
460.08,0.0,42373.31
1184.74,0.0,20060.07
0.0,3000.0,21959.7
0.0,1322.49,13456.14
0.0,1224.75,45637.28
0.0,892.23,68205.3
0.0,1437.78,20643.36
1275.52,0.0,59665.84
666.25,0.0,82157.7
0.0,3000.0,34466.26
